Gaia source IDs,True distance [pc],True RA [deg],True Dec [deg],Stellar mass [M_\odot],G-band mag,True planet mass [M_J],True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg]
5862916884898276864,159.835,190.56426821559117,-63.57892702943159,0.807,12.367,9.808,1191.884,141.621,0.023,5.318,311.198,166.8,9.742,1197.985,136.995,0.189,99.936,130.605,1087.949,159.771,160.013,160.258,1173.746,1202.369,1232.368,9.119,9.818,10.632,0.096,0.202,0.32,128.781,135.73,144.01
1317376390783150080,90.239,244.45187149251936,27.793074938142666,0.58,13.403,3.701,2540.754,50.376,0.09,159.754,229.204,256.93,4.524,2339.016,55.677,0.156,143.851,28.42,1219.756,90.116,90.202,90.294,3299.69,4069.309,4861.999,8.409,15.6,24.411,0.07,0.208,0.415,61.216,70.642,75.44
6718019348545856512,28.924,287.787844701065,-38.717515401659746,0.488,11.106,8.175,598.87,45.217,0.455,314.122,191.778,39.088,8.093,599.837,47.883,0.475,135.609,7.104,32.291,28.926,28.937,28.949,597.551,599.934,602.278,7.807,8.129,8.49,0.431,0.48,0.533,45.274,48.014,50.597
4855934177121615744,191.835,58.027016309812296,-37.66337410231753,1.174,9.702,9.216,1275.843,15.991,0.091,270.689,212.703,94.707,11.47,1258.333,36.747,0.39,310.74,143.264,1249.352,191.281,191.607,191.927,1217.134,1272.661,1347.237,10.527,12.251,14.942,0.269,0.463,0.672,32.693,43.704,52.816
4909108694040252928,141.81,21.036511441622068,-59.0523065359901,0.503,14.423,8.55,760.997,23.396,0.072,36.926,25.45,13.607,8.517,751.569,5.383,0.101,96.653,127.821,359.949,141.019,141.422,141.753,738.144,751.444,765.411,8.651,9.471,10.562,0.048,0.168,0.38,23.486,33.306,42.205
1554923678942430336,227.345,195.30658736077865,47.36820707281273,0.942,11.832,10.902,551.82,95.27,0.061,99.968,333.481,40.974,12.172,571.476,82.592,0.643,316.52,157.797,129.715,226.157,226.612,227.098,562.466,573.128,590.029,10.663,19.692,96.629,0.404,0.927,0.998,76.044,86.096,90.901
291177823228929664,156.615,26.784116984364204,24.377535103304556,1.245,9.417,12.729,903.103,38.758,0.032,337.481,145.912,77.663,12.232,890.315,34.349,0.152,158.312,165.739,560.457,156.279,156.69,157.101,850.654,889.346,926.543,12.011,13.919,17.66,0.076,0.271,0.68,32.294,44.706,56.455
2469253050105067648,197.609,16.293497454055345,-12.344100475284586,0.874,12.082,7.493,1117.671,129.029,0.15,239.987,193.055,174.976,9.905,1227.166,116.292,0.369,266.362,20.284,921.471,198.268,198.84,199.426,1172.76,1250.376,1522.619,9.066,12.318,37.213,0.22,0.691,0.978,97.678,109.153,121.425
6326001392624901120,123.026,223.61144886675604,-9.834544128768865,0.622,13.105,3.87,1205.319,159.865,0.156,334.697,113.582,183.058,4.45,1258.622,140.459,0.304,52.259,116.065,436.961,123.04,123.294,123.556,1209.329,1267.024,1337.958,4.204,5.132,6.537,0.085,0.296,0.729,117.925,129.817,143.46
1471600042087965696,213.76,204.33739932682238,34.93922595743957,0.681,13.819,7.665,729.136,73.446,0.156,288.714,228.359,3.797,10.561,741.005,78.263,0.634,158.888,53.829,73.423,212.034,212.595,213.226,701.292,734.348,755.766,10.336,24.239,226.214,0.474,0.979,1.0,72.951,84.628,89.648
