Binary source ID,True distance [pc],True RA [deg],True Dec [deg],Primary stellar mass [M_\odot],Secondary stellar mass [M_\odot],Apparent stellar mass [M_\odot],Primary G-band mag,Secondary G-band mag,Apparent G-band mag,True period [days],True inclination [deg],True eccentricity,True omega [deg],True Omega [deg],True T_peri [days],Best-fit planet mass [M_J],Best-fit period [days],Best-fit inclination [deg],Best-fit eccentricity,Best-fit omega [deg],Best-fit Omega [deg],Best-fit T_peri [days],MCMC distance 16th [pc],MCMC distance 50th [pc],MCMC distance 84th [pc],MCMC period 16th [days],MCMC period 50th [days],MCMC period 84th [days],MCMC planet mass 16th [M_J],MCMC planet mass 50th [M_J],MCMC planet mass 84th [M_J],MCMC eccentricity 16th,MCMC eccentricity 50th,MCMC eccentricity 84th,MCMC inclination 16th [deg],MCMC inclination 50th [deg],MCMC inclination 84th [deg],\Delta \chi^2
0,75.0105,153.2089558756908,0.8103201725274705,0.48003,0.47211,0.61767,13.30532,13.37437,12.58672,958.6404,143.26342,0.5505,188.00859,103.26949,16.51313,9.75903,946.42793,129.32676,0.46601,207.94466,103.48415,56.13552,74.88344,74.95537,75.02728,936.12546,947.16333,958.64155,9.12925,9.84756,10.77136,0.38061,0.47538,0.57894,125.15753,128.87588,133.23506,769.19805
1,74.19249,133.01581197155076,-36.43967471416673,0.45232,0.44681,0.59002,13.1481,13.19639,12.4194,296.9682,52.16949,0.17228,304.75118,285.37974,9.79885,6.90717,299.29192,46.85402,0.43506,119.35256,101.08047,5.81646,74.00744,74.06106,74.1135,296.61232,298.83485,301.36421,6.50445,7.3508,9.48416,0.3516,0.54436,0.79467,36.88513,47.98923,57.90861,195.79896
2,21.13839,243.49118839946414,-45.59504157734673,0.70286,0.7009,0.75394,9.26742,9.28663,8.52441,113.44969,153.2523,0.27588,251.13275,326.5044,17.93846,3.79691,114.02746,147.72559,0.57545,41.85709,115.30634,17.2069,21.13948,21.14495,21.15044,113.62314,114.05996,114.49185,3.56272,6.33691,21.42262,0.33766,0.8895,0.99186,101.99579,120.8994,137.64322,53.06082
3,77.38156,3.5948396804548417,-48.921485396070366,0.14598,0.13885,0.13071,17.74327,17.97159,17.09886,1168.60432,80.98061,0.01522,196.49307,141.16116,3.86176,7.22528,1172.94629,76.77524,0.08724,311.47355,137.71622,367.47867,77.23391,77.54477,77.85182,1151.22394,1173.45895,1194.88576,6.73616,7.28263,7.84196,0.03563,0.11211,0.23123,74.15076,76.88758,79.49913,217.87263
4,137.96211,279.76371221376047,-0.7786424810127474,0.19019,0.17654,0.27625,16.86513,17.10033,16.2238,1070.55542,132.73088,0.60448,62.6117,300.76916,71.61531,11.52482,1092.46882,137.73568,0.6081,254.09764,150.13808,42.52671,136.83017,137.61947,138.41501,1059.79116,1095.16529,1131.84054,9.60825,12.78793,29.37055,0.3531,0.67075,0.94569,109.70479,128.4922,142.97958,100.5221
5,38.96096,357.216059411293,-53.15737754039691,0.16465,0.15595,0.23518,14.45158,14.59471,13.76822,1384.15457,139.16863,0.64581,330.37594,146.23603,167.35596,6.12652,1377.96695,133.08377,0.5793,330.89289,150.21105,155.10654,38.94455,38.95998,38.97574,1369.09797,1378.39815,1388.26873,6.02337,6.13382,6.24675,0.56001,0.58052,0.60075,131.75626,133.00675,134.30865,9415.936
6,70.04402,317.576573470248,30.67227554841053,0.12946,0.1241,0.19232,17.25667,17.41808,16.5818,417.46217,68.64329,0.46894,328.74205,213.35066,43.89182,11.55621,414.19294,72.14272,0.9207,147.86078,18.6286,54.09177,69.87064,70.06788,70.27782,400.87409,411.16784,417.66752,9.58318,19.81688,82.1491,0.77628,0.98187,0.99869,65.69376,78.37359,86.72652,79.25637
7,81.34248,11.824246225759353,29.504108708277258,0.21373,0.19363,0.30423,16.06219,16.31195,15.42733,802.98348,93.17239,0.22838,297.32362,351.44229,69.14593,11.69056,812.40732,93.69648,0.08805,78.16795,172.07897,801.32463,80.9891,81.15657,81.32223,800.32495,810.74947,821.33248,11.35383,11.77583,12.20653,0.02645,0.08277,0.1566,90.1138,93.57347,97.08481,957.57669
8,98.1847,225.76169332815823,47.55769379468469,0.15462,0.14592,0.23289,17.23646,17.42246,16.57291,1209.73424,57.52268,0.75916,325.2268,173.80186,64.64268,9.97874,1228.66741,66.21329,0.88352,111.42328,7.37222,13.23819,98.06044,98.40889,98.7573,1173.67911,1265.12272,1453.58792,7.93009,28.57936,169.53813,0.839,0.98975,0.99948,62.32405,80.95384,88.00041,57.98045
9,161.25728,292.875533126074,37.6712632668013,0.36423,0.34861,0.49199,15.9297,16.06378,15.24209,1172.56836,60.38904,0.25994,72.3154,116.16033,97.0574,10.78957,1163.54937,63.86205,0.38361,128.5774,99.45186,231.28462,161.08825,161.54762,162.02349,1134.91303,1171.21719,1213.56287,9.18821,10.61863,12.6389,0.14587,0.34517,0.57733,54.89629,63.62755,71.17118,116.88796
10,44.04883,331.0444271081743,79.68979880517371,0.47847,0.4664,0.60455,12.27326,12.37445,11.5701,522.8542,71.96845,0.55421,265.96787,299.72101,61.42644,12.88645,522.44196,73.38173,0.51002,83.57267,118.6885,60.1695,44.04281,44.0585,44.07419,520.65614,522.4294,524.20684,12.38329,12.89023,13.46112,0.46652,0.51126,0.55649,71.82503,73.45578,75.03401,1822.22413
11,126.51794,84.61595027206093,-1.3703912640622076,0.20722,0.18835,0.29552,17.16351,17.42027,16.53174,872.42964,66.45062,0.26696,95.8634,117.80728,126.71393,12.1434,939.93164,63.82657,0.18057,46.04621,115.82569,22.8743,126.21158,127.02169,127.88115,901.39184,939.58376,982.97541,11.1242,13.73591,24.84264,0.1144,0.41242,0.92197,55.51425,67.04741,76.56612,58.2207
